Student_ID,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status,salary_lpa
12,Female,IT,7.29,80.4,69.5,0,6.0,98.6,6,3,4,1,4,2,1,8.4,2,No,Medium,Tier 2,Yes,Low,Placed,14.3
13,Female,ECE,9.28,100.0,93.5,2,6.1,98.2,4,3,3,1,5,4,0,9.1,7,No,High,Tier 3,Yes,Low,Placed,18.14
14,Male,IT,3.33,44.4,36.5,0,2.3,57.4,2,2,1,3,5,1,0,7.3,6,Yes,Low,Tier 3,Yes,Medium,Not Placed,0.0
15,Male,CSE,5.03,63.7,36.8,0,6.7,63.2,5,1,4,2,3,3,1,5.1,9,No,Medium,Tier 2,Yes,Low,Not Placed,0.0
16,Male,CSE,0.14,6.4,29.1,0,3.1,50.1,2,0,2,3,2,1,1,6.7,7,No,High,Tier 1,Yes,Medium,Not Placed,0.0
17,Male,CSE,0.07,23.3,3.5,0,2.3,51.5,2,0,0,5,3,1,1,7.1,4,Yes,Medium,Tier 2,Yes,Medium,Not Placed,0.0
18,Male,CSE,2.4,30.1,38.3,0,2.1,35.5,1,1,1,3,3,2,1,7.0,6,No,Medium,Tier 1,Yes,Medium,Not Placed,0.0
19,Male,ECE,1.01,24.3,29.4,0,3.7,32.6,1,0,0,5,1,0,4,10.0,4,Yes,High,Tier 1,Yes,High,Not Placed,0.0
20,Male,ME,2.6,36.0,42.1,0,3.8,58.2,2,1,3,3,3,3,0,6.7,2,Yes,Medium,Tier 1,No,High,Not Placed,0.0
21,Female,IT,1.77,40.4,29.3,2,3.4,56.9,1,1,2,4,1,1,3,6.3,8,No,Medium,Tier 2,Yes,Low,Not Placed,0.0
22,Male,ECE,0.29,4.4,23.0,0,2.1,33.1,4,0,3,0,0,2,1,7.2,5,No,High,Tier 2,Yes,High,Not Placed,0.0
23,Male,EE,9.09,69.4,95.4,1,6.4,80.6,4,2,4,4,3,5,2,6.8,8,No,Low,Tier 2,Yes,Medium,Placed,16.51
24,Male,IT,0.08,13.5,26.0,1,0.4,36.4,1,1,1,4,2,1,1,6.1,6,Yes,Medium,Tier 3,Yes,Medium,Not Placed,0.0
25,Male,CE,7.36,82.2,94.2,0,6.1,96.9,3,3,5,3,4,4,5,4.9,6,No,Medium,Tier 3,Yes,Low,Placed,17.41
26,Female,ECE,1.52,29.4,32.5,0,3.2,44.6,5,0,3,5,3,2,1,7.9,7,No,Medium,Tier 2,Yes,High,Not Placed,0.0
27,Male,CSE,9.12,100.0,91.6,0,6.5,74.6,5,3,5,2,5,4,3,6.0,5,Yes,Medium,Tier 2,Yes,High,Placed,18.46
28,Male,CSE,8.93,95.3,80.4,0,7.6,89.9,5,4,4,1,4,4,2,5.8,5,No,High,Tier 2,Yes,Medium,Placed,17.78
29,Male,IT,6.54,65.0,74.7,3,5.9,83.6,2,2,3,4,4,1,0,6.0,6,No,Medium,Tier 3,Yes,Low,Placed,14.04
30,Male,CSE,6.72,48.9,78.4,0,7.0,74.1,2,3,2,1,4,1,1,5.2,8,No,Medium,Tier 3,Yes,Low,Placed,13.92
31,Female,CSE,0.05,13.1,16.5,2,2.2,50.4,1,1,0,3,0,1,3,7.8,7,No,Low,Tier 1,Yes,Medium,Not Placed,0.0
32,Male,ECE,9.85,100.0,100.0,2,7.4,100.0,5,3,5,5,3,4,1,7.6,6,No,High,Tier 1,Yes,Low,Placed,19.63
33,Male,ECE,8.78,85.7,85.3,0,9.1,86.9,5,2,5,4,4,5,0,7.2,5,No,Low,Tier 1,Yes,Low,Placed,16.93
34,Female,IT,8.95,91.4,96.3,0,6.6,89.2,3,4,4,3,5,3,1,7.9,5,No,Medium,Tier 1,No,Low,Placed,16.37
35,Female,CSE,6.59,75.2,79.8,0,7.2,52.4,4,3,4,3,3,5,3,7.5,4,No,Medium,Tier 1,Yes,Low,Placed,15.13
36,Female,ECE,3.45,34.2,54.6,2,3.4,70.2,1,1,2,5,4,2,1,7.7,4,Yes,Low,Tier 2,No,High,Not Placed,0.0
37,Male,IT,8.94,97.2,90.7,2,7.9,84.7,4,4,5,2,5,6,0,9.2,5,No,Medium,Tier 2,Yes,High,Placed,17.78
38,Male,EE,2.92,56.2,31.0,0,3.8,47.7,3,2,3,4,2,4,2,8.2,6,No,Low,Tier 3,Yes,Low,Not Placed,0.0
39,Female,IT,5.63,61.1,56.9,0,5.6,62.2,4,3,4,5,2,2,1,7.2,7,No,High,Tier 1,Yes,High,Placed,16.29
40,Male,CE,1.0,12.2,32.0,0,2.9,46.5,2,0,2,4,2,3,0,5.9,3,No,High,Tier 1,Yes,Low,Not Placed,0.0
41,Male,IT,9.22,92.7,100.0,2,8.3,76.8,6,3,5,3,3,5,3,5.1,6,No,Medium,Tier 2,No,High,Placed,16.88
42,Male,ECE,1.41,4.7,25.9,3,3.3,31.6,2,2,2,3,2,2,2,4.9,6,No,Medium,Tier 3,Yes,Low,Not Placed,0.0
43,Male,CSE,2.25,37.5,40.6,0,3.5,47.9,4,3,4,2,1,4,1,8.1,4,No,Low,Tier 3,Yes,Medium,Not Placed,0.0
44,Female,IT,5.58,67.0,57.1,0,4.1,61.0,5,2,5,2,3,3,0,6.3,5,No,Medium,Tier 2,Yes,Low,Placed,15.95
45,Male,IT,7.64,96.7,69.4,0,7.1,84.9,3,2,4,3,4,3,0,7.1,7,No,Medium,Tier 2,Yes,Medium,Placed,16.53
46,Female,IT,6.19,65.7,60.8,0,5.3,65.1,3,3,3,4,2,2,1,5.9,5,No,Medium,Tier 2,Yes,Medium,Placed,14.08
47,Male,ECE,2.32,38.8,15.7,2,2.0,68.1,3,1,2,5,0,4,1,9.6,1,No,Medium,Tier 1,Yes,Low,Not Placed,0.0
48,Male,ECE,0.01,6.5,31.6,0,1.2,43.4,1,1,0,1,0,0,0,4.8,7,No,Low,Tier 1,Yes,Medium,Not Placed,0.0
49,Male,CSE,7.57,75.8,56.3,0,7.0,88.6,5,1,5,0,5,2,2,7.2,6,No,Low,Tier 2,Yes,Medium,Placed,16.08
50,Male,ECE,9.85,83.5,94.2,0,8.6,86.8,5,3,4,5,5,2,0,6.6,2,No,Medium,Tier 3,Yes,Low,Placed,18.76
51,Female,CSE,8.1,81.9,71.0,0,8.2,100.0,4,3,5,3,3,4,3,7.0,4,Yes,Medium,Tier 2,Yes,Medium,Placed,17.14
52,Female,ME,4.6,51.0,46.0,0,6.0,57.3,5,0,5,3,5,4,1,6.6,5,No,Low,Tier 1,Yes,Low,Placed,14.24
53,Female,CSE,9.04,94.8,100.0,1,8.2,80.7,5,2,3,4,5,3,0,5.9,6,Yes,Medium,Tier 3,No,Medium,Placed,16.35
54,Female,CSE,4.1,43.6,52.8,1,4.9,68.1,2,0,2,3,3,2,1,5.7,8,No,Low,Tier 3,Yes,Medium,Not Placed,0.0
55,Male,ECE,5.25,60.5,50.3,0,5.3,68.8,3,2,2,5,2,1,2,9.5,4,No,Low,Tier 3,Yes,Medium,Placed,13.05
56,Female,IT,4.77,52.2,50.3,0,5.6,53.8,2,1,1,4,4,1,2,6.6,5,No,Medium,Tier 2,Yes,Medium,Placed,11.05
57,Male,ECE,4.48,49.8,46.2,0,5.1,88.2,2,1,2,2,3,3,2,7.4,7,No,Low,Tier 3,Yes,Low,Not Placed,0.0
58,Male,CSE,7.75,81.7,79.6,0,6.9,93.2,6,3,5,3,3,4,2,5.1,8,No,Low,Tier 2,Yes,Medium,Placed,16.71
59,Male,ECE,5.27,60.2,61.9,0,7.3,66.7,3,1,4,3,3,4,3,4.5,5,No,Low,Tier 1,Yes,Low,Placed,14.86
60,Male,CSE,3.17,49.6,62.3,0,3.2,82.8,3,2,2,2,1,2,0,6.2,4,No,High,Tier 3,Yes,Low,Not Placed,0.0
61,Male,CE,2.58,35.7,19.5,0,4.8,60.2,0,3,0,5,1,0,3,8.0,6,Yes,Low,Tier 2,Yes,Medium,Not Placed,0.0
62,Male,CE,0.38,14.7,20.7,2,0.4,37.1,2,0,1,3,0,2,1,7.0,1,No,High,Tier 1,Yes,Low,Not Placed,0.0
63,Female,ECE,5.83,62.7,61.5,0,6.4,97.4,2,0,2,2,4,2,4,6.4,5,Yes,Medium,Tier 2,Yes,Low,Not Placed,0.0
64,Male,CSE,2.3,27.4,45.9,0,4.5,56.7,1,1,0,3,2,1,1,7.5,5,No,High,Tier 2,Yes,Low,Not Placed,0.0
65,Male,IT,1.48,24.0,33.4,0,0.6,51.3,1,1,0,5,1,2,5,6.3,5,No,Medium,Tier 3,Yes,High,Not Placed,0.0
66,Male,CSE,6.54,90.9,76.2,2,6.2,69.6,4,2,4,4,4,3,1,8.7,6,No,Low,Tier 3,Yes,Low,Placed,15.85
67,Male,ECE,6.81,63.8,75.9,0,7.0,76.5,3,3,4,2,3,4,1,8.7,8,No,Medium,Tier 1,Yes,High,Placed,14.86
68,Female,CSE,7.52,76.1,68.8,0,7.0,75.2,4,2,4,2,5,4,2,6.3,4,No,Medium,Tier 3,Yes,Medium,Placed,16.54
69,Male,CE,5.04,54.0,70.4,0,5.4,82.5,3,1,2,5,3,2,5,6.1,4,Yes,Medium,Tier 1,Yes,Medium,Placed,12.88
70,Female,CSE,8.94,88.5,97.5,0,7.9,69.3,5,1,4,1,3,4,2,6.9,7,No,Medium,Tier 2,Yes,Medium,Placed,15.36
71,Female,ECE,9.36,91.2,100.0,2,7.0,100.0,4,3,3,3,4,2,2,7.5,3,No,Low,Tier 1,Yes,Medium,Placed,15.25
72,Male,IT,8.07,86.4,95.2,3,9.5,72.9,4,2,5,2,3,4,2,6.7,4,No,Low,Tier 2,Yes,Medium,Placed,16.05
73,Male,ECE,6.36,52.0,73.1,0,5.4,72.5,5,2,5,5,4,4,3,8.3,10,No,High,Tier 2,Yes,Low,Placed,16.17
74,Female,CSE,3.04,51.2,57.1,1,4.1,49.7,2,0,3,2,3,2,1,7.3,6,No,High,Tier 3,Yes,High,Not Placed,0.0
75,Female,EE,9.83,100.0,100.0,0,7.7,87.7,5,3,5,2,3,2,1,8.3,5,Yes,Medium,Tier 2,Yes,Medium,Placed,19.93
76,Female,ECE,2.74,25.9,37.7,0,1.1,59.7,3,2,2,4,2,2,2,5.7,2,No,High,Tier 3,Yes,High,Not Placed,0.0
77,Female,IT,2.03,9.6,34.2,1,2.0,47.1,0,0,0,4,3,0,0,6.3,1,No,Low,Tier 3,Yes,High,Not Placed,0.0
78,Male,CSE,4.42,42.8,53.1,0,3.1,53.5,4,1,2,5,1,3,2,7.6,8,No,Medium,Tier 1,Yes,Low,Not Placed,0.0
79,Male,ECE,0.57,17.4,17.4,0,3.0,40.3,0,0,1,4,1,1,2,7.1,3,No,Medium,Tier 1,Yes,Low,Not Placed,0.0
80,Male,ECE,9.78,100.0,100.0,2,7.7,85.3,6,3,4,3,4,4,2,6.8,6,No,Medium,Tier 1,Yes,Medium,Placed,16.02
81,Female,CSE,5.88,70.4,68.0,0,5.1,63.8,2,1,3,4,4,2,2,6.4,8,No,High,Tier 2,Yes,Low,Placed,13.22
82,Female,CSE,5.57,44.3,63.5,0,4.3,50.5,2,3,3,1,3,2,0,7.1,5,No,Medium,Tier 2,Yes,Low,Placed,12.58
83,Male,ME,6.56,63.9,74.4,1,6.2,69.0,3,1,3,2,4,1,1,8.7,5,No,Medium,Tier 1,Yes,Low,Placed,13.63
84,Male,CSE,4.97,56.7,87.6,2,4.3,70.8,5,2,5,1,3,2,1,4.6,7,No,High,Tier 1,Yes,Low,Placed,14.25
85,Male,CSE,0.32,20.3,9.2,2,2.7,37.4,0,0,0,0,1,1,1,6.8,8,No,Medium,Tier 1,Yes,Low,Not Placed,0.0
86,Male,ECE,6.12,53.9,58.5,0,6.1,93.5,4,1,4,4,5,3,2,6.9,7,Yes,Low,Tier 1,Yes,Medium,Placed,13.16
87,Female,IT,7.16,74.5,61.5,2,5.9,100.0,3,3,3,5,3,4,0,5.7,8,Yes,Medium,Tier 2,Yes,High,Placed,14.87
88,Female,CSE,4.17,43.3,49.0,1,5.3,54.4,2,1,3,4,0,3,1,6.8,1,No,Medium,Tier 3,Yes,Low,Not Placed,0.0
89,Female,ECE,7.57,68.3,81.0,0,6.8,70.4,5,4,4,3,2,3,3,5.0,6,No,High,Tier 3,Yes,Low,Placed,15.51
90,Male,CSE,2.27,36.9,31.5,1,3.1,62.2,4,0,2,3,2,0,0,6.3,8,No,Medium,Tier 1,Yes,High,Not Placed,0.0
91,Male,CSE,2.21,41.5,30.3,0,1.6,52.3,0,0,1,3,1,3,1,6.7,6,No,Low,Tier 3,Yes,Medium,Not Placed,0.0
92,Female,CSE,1.61,37.1,32.3,0,2.6,58.3,3,1,1,5,1,1,2,7.0,5,No,Low,Tier 2,Yes,Medium,Not Placed,0.0
93,Female,ME,3.72,52.4,42.7,0,4.4,62.1,3,1,2,5,2,0,1,9.3,3,No,High,Tier 3,Yes,Low,Not Placed,0.0
94,Male,CSE,8.47,82.0,88.9,0,8.8,83.5,4,3,4,2,5,3,2,6.0,4,No,High,Tier 2,No,Low,Placed,16.82
95,Female,CSE,8.28,92.5,95.4,0,6.5,82.4,3,4,3,4,4,1,4,5.4,8,No,Low,Tier 2,Yes,Medium,Placed,17.19
96,Male,ECE,3.83,50.6,55.4,0,6.5,63.2,4,2,4,4,3,2,1,8.2,5,Yes,Medium,Tier 2,Yes,Low,Not Placed,0.0
97,Male,ME,5.89,66.4,73.9,0,6.2,67.8,2,1,1,4,2,1,3,4.0,4,Yes,Medium,Tier 3,Yes,High,Placed,10.78
98,Male,CSE,7.21,70.2,86.5,0,5.0,92.9,6,2,3,3,3,2,3,6.3,2,No,Medium,Tier 2,No,Medium,Placed,16.0
99,Male,ECE,2.41,30.5,40.1,0,2.3,33.8,4,2,1,3,3,2,0,6.6,6,No,Low,Tier 1,Yes,High,Not Placed,0.0
100,Male,CSE,1.68,30.0,29.9,1,4.1,59.6,1,1,2,1,2,1,3,5.9,4,Yes,High,Tier 2,No,Medium,Not Placed,0.0
101,Male,ECE,9.72,100.0,88.0,2,9.5,70.8,5,3,5,1,5,4,0,6.9,5,No,Medium,Tier 3,Yes,Low,Placed,16.56
102,Female,ECE,6.18,70.5,63.5,2,5.8,73.8,2,2,2,4,4,2,2,6.2,9,No,Medium,Tier 3,Yes,Medium,Not Placed,0.0
103,Male,ECE,9.81,92.3,91.2,0,8.5,89.9,6,2,5,2,5,4,1,4.9,7,Yes,Medium,Tier 3,Yes,Low,Placed,19.01
104,Male,CSE,3.38,35.4,52.4,1,2.7,37.1,2,1,2,1,4,2,2,7.7,8,No,High,Tier 1,Yes,High,Not Placed,0.0
105,Female,CSE,7.03,69.8,77.7,0,7.7,52.5,3,2,4,1,3,3,1,7.8,6,No,Medium,Tier 1,Yes,Low,Placed,15.4
106,Male,CSE,2.23,55.7,42.8,0,2.1,35.2,1,1,0,2,1,2,1,5.8,7,No,Medium,Tier 3,Yes,Medium,Not Placed,0.0
107,Male,ECE,2.61,33.2,27.3,1,4.2,51.2,2,1,2,3,0,2,5,6.4,8,Yes,Medium,Tier 2,Yes,High,Not Placed,0.0
108,Female,CSE,5.12,67.6,73.3,0,6.4,58.5,5,1,4,4,4,2,1,9.2,4,No,Medium,Tier 2,Yes,Low,Placed,15.15
109,Male,IT,3.2,38.4,39.3,2,3.8,41.7,5,1,2,4,2,0,1,7.5,5,No,Low,Tier 2,Yes,Medium,Not Placed,0.0
110,Male,EE,1.68,31.9,20.4,0,3.6,61.3,3,2,2,3,3,1,2,7.0,4,No,Medium,Tier 1,Yes,Medium,Not Placed,0.0
111,Male,EE,2.63,45.3,34.6,0,5.2,36.0,3,0,2,3,2,2,3,8.9,4,No,Medium,Tier 3,Yes,Low,Not Placed,0.0
112,Male,ME,0.36,12.3,45.7,2,2.0,45.3,2,1,0,4,1,0,0,5.1,5,No,Low,Tier 3,Yes,Low,Not Placed,0.0
113,Female,IT,7.04,68.4,70.4,0,6.3,66.6,3,2,2,4,2,1,1,4.6,4,No,High,Tier 2,Yes,Low,Placed,13.77
114,Female,IT,4.92,73.4,54.1,2,4.9,51.0,4,2,4,2,4,2,3,7.2,5,Yes,Medium,Tier 2,Yes,Medium,Placed,13.68
115,Female,CSE,0.94,32.8,23.6,1,1.4,33.4,2,0,2,3,1,3,1,8.0,7,No,High,Tier 2,Yes,Low,Not Placed,0.0
116,Female,IT,1.72,37.5,30.3,0,1.9,52.8,4,1,3,1,2,3,1,4.9,5,No,Low,Tier 2,Yes,High,Not Placed,0.0
117,Female,ECE,1.03,31.6,18.4,0,2.7,24.7,1,1,0,3,2,1,2,5.4,4,No,High,Tier 3,Yes,Low,Not Placed,0.0
118,Male,ECE,6.13,71.7,68.5,0,5.6,75.2,2,1,3,2,3,2,1,8.0,7,No,Medium,Tier 2,Yes,Medium,Placed,14.89
119,Female,IT,0.94,43.2,36.3,0,2.5,29.1,4,2,2,5,0,0,2,5.6,4,Yes,Medium,Tier 2,No,Low,Not Placed,0.0
120,Male,CSE,7.54,79.5,81.5,0,5.3,70.9,2,3,3,2,4,1,2,6.7,3,No,Medium,Tier 1,Yes,High,Placed,14.5
121,Female,CSE,0.21,22.6,8.6,0,1.6,41.1,1,0,2,3,2,0,1,7.3,8,No,Medium,Tier 2,No,Low,Not Placed,0.0
122,Female,CE,2.49,21.7,34.5,3,4.3,76.0,1,0,1,2,2,0,0,8.1,7,No,High,Tier 2,Yes,Medium,Not Placed,0.0
123,Male,CSE,8.91,82.5,83.8,2,6.6,77.5,4,2,4,2,5,4,0,6.6,5,Yes,High,Tier 3,Yes,High,Placed,15.05
124,Male,ECE,7.19,64.1,76.0,1,6.5,86.8,5,3,4,3,4,3,3,7.6,9,Yes,Medium,Tier 3,Yes,Medium,Placed,14.94
125,Male,CE,0.73,33.9,37.1,0,0.2,35.6,1,0,0,2,1,0,1,5.5,4,Yes,Medium,Tier 3,Yes,Medium,Not Placed,0.0
126,Male,IT,8.21,59.3,82.2,0,5.9,78.6,2,3,2,5,3,3,4,7.7,7,No,Low,Tier 3,Yes,High,Placed,15.38
127,Female,ECE,4.93,52.9,56.6,1,5.8,77.4,2,1,3,1,5,1,3,5.9,2,No,Medium,Tier 1,Yes,High,Not Placed,0.0
128,Female,CSE,8.47,57.1,100.0,0,7.1,75.7,6,4,5,4,5,4,3,5.3,3,Yes,Low,Tier 3,Yes,Medium,Placed,17.35
129,Male,CSE,6.01,57.8,74.8,2,7.5,57.2,4,2,4,3,3,2,1,9.5,8,No,Low,Tier 3,Yes,Low,Not Placed,0.0
130,Male,ME,6.82,68.1,78.3,3,6.7,81.4,4,3,4,3,4,3,4,9.2,8,No,Medium,Tier 1,Yes,Medium,Placed,15.18
131,Male,ECE,9.94,100.0,100.0,0,9.0,100.0,5,3,5,3,4,5,2,7.2,5,No,Medium,Tier 2,Yes,Medium,Placed,18.79
132,Male,ECE,2.32,38.7,41.5,1,2.0,57.9,3,1,3,4,1,1,0,8.9,10,Yes,High,Tier 2,Yes,Low,Not Placed,0.0
133,Male,CSE,6.24,59.7,48.1,0,5.5,55.6,4,2,4,3,2,4,2,6.6,8,No,Medium,Tier 3,Yes,Medium,Not Placed,0.0
134,Male,CSE,4.6,64.8,63.1,1,4.0,55.2,6,2,3,4,3,3,0,6.8,4,No,High,Tier 1,Yes,Low,Not Placed,0.0
135,Female,EE,0.39,18.5,5.2,0,0.7,49.1,3,1,2,3,1,1,2,6.8,5,Yes,Medium,Tier 3,Yes,Low,Not Placed,0.0
136,Male,ECE,0.14,16.6,23.6,0,2.3,54.8,0,0,0,2,2,0,2,5.9,3,No,High,Tier 3,No,Low,Not Placed,0.0
137,Male,IT,1.19,13.1,10.4,1,3.2,44.9,2,1,1,3,1,1,1,4.2,5,No,High,Tier 1,No,High,Not Placed,0.0
138,Female,CSE,6.49,60.3,65.3,1,6.4,67.0,1,1,2,4,4,2,0,6.6,6,Yes,Medium,Tier 1,No,High,Not Placed,0.0
139,Male,IT,5.67,54.9,59.7,0,4.6,88.8,3,1,4,3,4,3,2,8.6,6,Yes,High,Tier 1,Yes,Medium,Placed,13.81
140,Female,CE,5.53,62.5,54.5,0,5.7,67.3,4,2,2,2,5,1,0,7.3,6,No,Low,Tier 3,Yes,Low,Not Placed,0.0
141,Female,ECE,0.32,18.5,17.1,1,0.0,29.7,4,1,4,4,3,4,0,8.0,7,No,Medium,Tier 1,Yes,Medium,Not Placed,0.0
142,Male,CSE,4.69,70.3,65.8,1,6.1,53.8,3,1,2,3,4,3,1,7.5,6,No,Medium,Tier 3,Yes,Low,Placed,10.79
143,Male,ECE,9.25,97.5,84.9,4,6.7,76.2,3,3,5,2,5,5,1,6.0,7,No,Medium,Tier 2,Yes,Low,Not Placed,0.0
144,Male,IT,3.98,21.8,55.3,2,3.2,92.9,1,0,2,3,1,3,1,7.3,6,Yes,Medium,Tier 1,Yes,Medium,Not Placed,0.0
145,Male,ECE,6.25,70.8,58.3,1,6.0,89.6,3,2,3,3,3,2,1,6.6,6,No,Low,Tier 1,Yes,High,Placed,14.36
146,Male,ME,7.8,66.8,78.5,1,7.2,73.9,2,3,3,3,5,1,0,5.7,7,No,Low,Tier 1,Yes,Low,Placed,15.17
147,Female,IT,7.84,72.0,84.0,0,6.9,100.0,2,2,3,4,4,3,2,8.1,7,Yes,High,Tier 1,Yes,Medium,Placed,16.27
148,Male,ME,5.19,51.0,49.6,0,4.0,72.5,0,1,1,3,2,0,1,5.4,3,No,Medium,Tier 1,Yes,Medium,Placed,9.06
149,Male,IT,8.58,81.3,73.5,0,8.6,92.2,5,3,5,4,4,5,1,6.2,9,No,Low,Tier 3,No,High,Placed,18.29
150,Male,CSE,3.91,34.5,54.2,2,2.6,49.8,3,1,2,2,1,1,2,9.7,6,No,High,Tier 1,Yes,Low,Not Placed,0.0
151,Female,CSE,8.89,92.6,100.0,2,6.2,82.2,7,5,5,5,3,3,2,7.8,4,No,Medium,Tier 1,Yes,Medium,Placed,17.43
152,Male,CSE,2.4,21.3,36.4,0,3.1,48.9,0,1,1,5,2,1,3,7.3,5,No,Medium,Tier 3,Yes,High,Not Placed,0.0
153,Male,CE,2.8,42.4,35.8,0,2.2,28.2,2,2,3,2,3,2,0,4.4,6,No,Medium,Tier 2,Yes,Low,Not Placed,0.0
154,Male,IT,0.53,41.9,23.8,0,3.1,32.3,2,0,3,2,0,3,1,6.9,7,No,Medium,Tier 1,Yes,Low,Not Placed,0.0
155,Female,IT,7.96,69.4,82.2,0,5.9,82.8,6,3,5,4,3,4,2,5.6,7,No,Medium,Tier 1,No,Low,Placed,17.69
156,Male,CSE,4.17,47.6,53.8,0,6.0,75.7,3,1,3,3,1,0,2,6.9,7,No,Medium,Tier 2,Yes,Medium,Not Placed,0.0
157,Female,CSE,2.29,9.2,11.0,0,4.1,41.3,0,1,1,4,2,4,1,6.8,9,Yes,Medium,Tier 3,Yes,High,Not Placed,0.0
158,Female,IT,2.32,31.7,25.9,3,4.4,58.7,2,0,3,2,0,2,1,6.0,6,No,Medium,Tier 2,Yes,Medium,Not Placed,0.0
159,Male,ECE,9.01,98.0,81.6,0,9.7,64.3,4,4,4,3,4,6,3,8.4,5,No,Low,Tier 2,Yes,High,Placed,18.45
160,Female,CSE,8.34,93.1,86.2,0,7.4,99.0,4,3,4,3,4,3,3,8.1,3,No,Low,Tier 3,Yes,High,Placed,17.64
161,Male,IT,5.54,62.9,64.2,0,4.4,57.4,2,2,3,3,1,1,0,5.6,7,No,High,Tier 2,Yes,High,Placed,12.96
162,Female,CSE,6.16,76.3,73.6,5,5.7,73.5,2,3,2,2,2,1,0,8.9,7,No,Medium,Tier 1,No,Medium,Not Placed,0.0
163,Female,CSE,4.74,80.8,58.5,2,4.3,68.3,2,2,3,3,3,3,3,5.6,4,Yes,High,Tier 3,Yes,Medium,Placed,12.05
164,Male,ECE,3.92,65.4,36.4,0,3.5,61.0,3,2,3,1,2,3,2,9.0,6,No,Medium,Tier 2,Yes,High,Not Placed,0.0
165,Male,CSE,9.15,87.5,100.0,5,8.1,88.6,4,4,4,2,4,3,0,6.7,5,No,Medium,Tier 1,Yes,High,Not Placed,0.0
166,Female,EE,1.26,11.2,40.8,0,2.1,27.7,3,1,2,3,2,2,2,6.5,6,Yes,High,Tier 3,Yes,Medium,Not Placed,0.0
167,Male,CSE,4.18,46.5,38.9,0,3.7,49.4,2,2,0,4,1,0,1,8.8,5,No,Low,Tier 3,Yes,High,Not Placed,0.0
168,Male,CSE,3.45,34.9,48.9,0,3.7,67.7,1,2,1,4,3,1,1,6.8,6,No,Medium,Tier 3,Yes,High,Not Placed,0.0
169,Male,CSE,4.98,61.8,51.9,0,5.5,57.7,2,3,2,4,2,3,3,8.3,2,No,Medium,Tier 2,Yes,Low,Placed,12.73
170,Male,IT,4.58,42.1,56.0,0,5.7,61.2,1,2,3,1,2,3,3,5.4,5,No,Low,Tier 3,Yes,Low,Placed,11.41
171,Female,ECE,5.19,58.4,70.1,3,3.5,48.2,6,1,4,5,1,2,3,7.0,6,No,Medium,Tier 1,No,High,Not Placed,0.0
172,Male,ECE,1.4,35.3,50.5,1,2.2,53.7,0,1,1,2,1,0,2,7.6,4,No,Medium,Tier 1,Yes,Medium,Not Placed,0.0
173,Male,CSE,5.13,57.6,66.6,0,4.9,49.9,3,2,3,2,3,1,0,8.4,6,No,Low,Tier 1,Yes,Low,Placed,13.34
174,Male,CSE,2.42,26.1,40.3,0,2.0,60.5,0,2,2,3,2,1,0,7.9,10,No,Medium,Tier 1,Yes,Medium,Not Placed,0.0
